TID;CIVILSTAND;OMRÅDE;INDHOLD
2020K4 2020K4;U Ugift;430 Faaborg-Midtfyn;22113
2020K4 2020K4;U Ugift;440 Kerteminde;9807
2020K4 2020K4;U Ugift;482 Langeland;4500
2020K4 2020K4;U Ugift;410 Middelfart;16533
2020K4 2020K4;U Ugift;480 Nordfyns;12586
2020K4 2020K4;U Ugift;450 Nyborg;13764
2020K4 2020K4;U Ugift;461 Odense;113639
2020K4 2020K4;U Ugift;479 Svendborg;26251
2020K4 2020K4;U Ugift;492 Ærø;2179
2020K4 2020K4;U Ugift;530 Billund;11695
2020K4 2020K4;U Ugift;561 Esbjerg;55161
2020K4 2020K4;U Ugift;563 Fanø;1229
2020K4 2020K4;U Ugift;607 Fredericia;23602
2020K4 2020K4;U Ugift;510 Haderslev;24725
2020K4 2020K4;U Ugift;621 Kolding;44962
2020K4 2020K4;U Ugift;540 Sønderborg;31983
2020K4 2020K4;U Ugift;550 Tønder;15722
2020K4 2020K4;U Ugift;573 Varde;21428
2020K4 2020K4;U Ugift;575 Vejen;19277
2020K4 2020K4;U Ugift;630 Vejle;55116
2020K4 2020K4;U Ugift;580 Aabenraa;25145
2020K4 2020K4;U Ugift;082 Region Midtjylland;657563
2020K4 2020K4;U Ugift;710 Favrskov;21719
2020K4 2020K4;U Ugift;766 Hedensted;20252
2020K4 2020K4;U Ugift;615 Horsens;44832
2020K4 2020K4;U Ugift;707 Norddjurs;16329
2020K4 2020K4;U Ugift;727 Odder;9561
2020K4 2020K4;U Ugift;730 Randers;47184
2020K4 2020K4;U Ugift;741 Samsø;1299
2020K4 2020K4;U Ugift;740 Silkeborg;44102
2020K4 2020K4;U Ugift;746 Skanderborg;28963
2020K4 2020K4;U Ugift;706 Syddjurs;18139
2020K4 2020K4;U Ugift;751 Aarhus;211863
2020K4 2020K4;U Ugift;657 Herning;41832
2020K4 2020K4;U Ugift;661 Holstebro;27431
2020K4 2020K4;U Ugift;756 Ikast-Brande;18585
2020K4 2020K4;U Ugift;665 Lemvig;7852
2020K4 2020K4;U Ugift;760 Ringkøbing-Skjern;24001
2020K4 2020K4;U Ugift;779 Skive;19993
2020K4 2020K4;U Ugift;671 Struer;8446
2020K4 2020K4;U Ugift;791 Viborg;45180
2020K4 2020K4;U Ugift;081 Region Nordjylland;281410
2020K4 2020K4;U Ugift;810 Brønderslev;16204
2020K4 2020K4;U Ugift;813 Frederikshavn;24560
2020K4 2020K4;U Ugift;860 Hjørring;28482
2020K4 2020K4;U Ugift;849 Jammerbugt;16352
2020K4 2020K4;U Ugift;825 Læsø;589
2020K4 2020K4;U Ugift;846 Mariagerfjord;17978
2020K4 2020K4;U Ugift;773 Morsø;8721
2020K4 2020K4;U Ugift;840 Rebild;13736
2020K4 2020K4;U Ugift;787 Thisted;18597
2020K4 2020K4;U Ugift;820 Vesthimmerlands;15965
2020K4 2020K4;U Ugift;851 Aalborg;120226
